GeneName	ProteinName	UniprotID	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Znrd1 	 DNA-directed RNA polymerase I subunit RPA12 	 Q791N7 	6.78	40761.8	5	3	38.21	123
 Lamp1 	 lysosome-associated membrane glycoprotein 1 isoform 1 precursor 	 P11438 	9.48	40819.1	2	2	5.65	407
 Cbfa2t3 	 protein CBFA2T3 isoform 1 	 O54972 	15.95	40823	4	4	7.42	620
 Spin1 	 spindlin-1 isoform 2 	 Q61142 	15.44	40847.7	4	3	15.27	262
 Actbl2 	 beta-actin-like protein 2 	 Q8BFZ3 	3.65	40901.4	2	1	2.93	376
 Ahdc1 	 AT-hook DNA-binding motif-containing protein 1 	 Q6PAL7 	2.2	40902.6	4	3	2.57	1594
 Pde6d 	" retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase "	 O55057 	5.45	40926.6	2	2	16	150
 Rexo2 	" oligoribonuclease, mitochondrial precursor "	 Q9D8S4 	2.15	40929.7	3	3	15.19	237
 Pter 	 phosphotriesterase-related protein isoform 1 	 Q60866 	10.21	40945	1	1	4.16	361
 Ctss 	 cathepsin S isoform 2 preproprotein 	 O70370 	16.74	40978	3	3	14.12	340
 Dcakd 	 dephospho-CoA kinase domain-containing protein 	 Q8BHC4 	6.28	40982.7	3	1	8.23	231
 Bcan 	 brevican core protein isoform 1 precursor 	 Q61361 	2.95	41007.3	2	2	2.15	883
 Srek1 	 PREDICTED: splicing regulatory glutamine/lysine-rich protein 1 	 Q8BZX4 	7.8	41008.9	3	3	7.21	610
 Taf8 	 transcription initiation factor TFIID subunit 8 	 Q9EQH4 	5.53	41015.9	1	1	5.19	308
 Epn1 	 PREDICTED: epsin-1 isoform X1 	 Q80VP1 	8.76	41042.8	2	2	3.99	576
 Cacul1 	 CDK2-associated and cullin domain-containing protein 1 isoform 1 	 Q8R0X2 	2.62	41090.6	3	3	10.08	377
 Yipf5 	 protein YIPF5 	 Q9EQQ2 	9.7	41120.7	2	1	4.67	257
 Hgs 	 hepatocyte growth factor-regulated tyrosine kinase substrate 	 Q99LI8 	4.68	41181	3	1	1.68	776
 Nt5c2 	 cytosolic purine 5'-nucleotidase isoform 1 	 Q3V1L4 	9.71	41193.4	3	3	5.12	586
 5730455P16Rik 	 protein Njmu-R1 	 Q9CYI0 	6.9	41245.5	2	1	4.07	393
 Ube2v2 	 ubiquitin-conjugating enzyme E2 variant 2 isoform 1 	 Q9D2M8 	9.5	41250.4	2	1	11.03	145
 Tbc1d10b 	 TBC1 domain family member 10B 	 Q8BHL3 	15.13	41251.4	3	3	4.76	798
 Eif4a2 	 eukaryotic initiation factor 4A-II isoform a 	 P10630 	3.79	41264.7	2	2	7.62	407
 Ubfd1 	 ubiquitin domain-containing protein UBFD1 	 Q78JW9 	18.4	41417.5	3	3	10.87	368
 Cebpg 	 CCAAT/enhancer-binding protein gamma 	 P53568 	8.11	41439.1	2	1	20.67	150
 Rpp30 	 ribonuclease P protein subunit p30 	 O88796 	13.72	41460.5	2	2	12.69	268
 Lrch1 	 leucine-rich repeat and calponin homology domain-containing protein 	 P62046 	19.8	41481.7	3	3	5.78	709
 Vkorc1l1 	 vitamin K epoxide reductase complex subunit 1-like protein 1 	 Q6TEK5 	4.4	41496.3	3	2	8.52	176
 Hnmt 	 histamine N-methyltransferase 	 Q91VF2 	7.46	41513.7	3	2	10.85	295
 Plcb3 	" 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 "	 P51432 	4.61	41515.8	5	3	3.57	1234
 Pafah2 	" platelet-activating factor acetylhydrolase 2, cytoplasmic isoform b "	 Q8VDG7 	5.43	41518.5	3	2	6.67	390
 Pop7 	 ribonuclease P protein subunit p20 	 Q9DCH2 	17.9	41537.6	3	2	11.43	140
 Zmiz1 	 zinc finger MIZ domain-containing protein 1 isoform 1 	 Q6P1E1 	6.21	41620.8	3	2	3.36	1072
 Mios 	 WD repeat-containing protein mio 	 Q8VE19 	14.35	41640.5	2	2	3.2	875
 Cd34 	 hematopoietic progenitor cell antigen CD34 isoform 1 precursor 	 Q543Y2 	3.29	41643.2	2	1	4	325
 Npc2 	 epididymal secretory protein E1 precursor 	 Q9Z0J0 	3.12	41685.6	3	1	8.05	149
 Zfp280c 	 zinc finger protein 280C isoform 1 	 Q6P3Y5 	2.35	41711.8	3	3	4.99	742
 Ric8a 	 synembryn-A 	 Q3TIR3 	25.73	41777.6	3	3	9.06	530
 Rheb 	 GTP-binding protein Rheb precursor 	 Q921J2 	11.48	41778.9	2	2	18.48	184
 Cryzl1 	 quinone oxidoreductase-like protein 1 isoform 1 	 Q921W4 	8.49	41785.1	3	2	9.48	348
 Map7d1 	 MAP7 domain-containing protein 1 isoform 1 	 A2AJI0 	1.67	41809.6	2	2	4.61	846
 Sco2 	" protein SCO2 homolog, mitochondrial "	 Q8VCL2 	5.96	41929.9	2	2	9.41	255
 Deptor 	 DEP domain-containing mTOR-interacting protein isoform a 	 Q570Y9 	4.37	41971.7	2	2	4.89	409
 Gbf1 	 golgi-specific brefeldin A-resistance guanine nucleotide exchange 	 Q6DFZ1 	6.04	42001.7	4	3	1.61	1861
 Dyrk1a 	 dual specificity tyrosine-phosphorylation-regulated kinase 1A 	 Q61214 	13.94	42007.6	5	4	7.86	763
 Med13 	 mediator of RNA polymerase II transcription subunit 13 	 Q5SWW4 	6.43	42053.5	4	3	2.44	2171
 Rnf31 	 E3 ubiquitin-protein ligase RNF31 	 Q924T7 	5.29	42060.8	2	2	2.25	1066
 Mrgprg 	 mas-related G-protein coupled receptor member G 	 Q91ZB5 	1.84	42078.1	3	1	3.46	289
 Lrrc8c 	 volume-regulated anion channel subunit LRRC8C 	 Q8R502 	4.95	42104.6	2	2	2.99	803
 Exosc9 	 exosome complex component RRP45 	 Q9JHI7 	12.18	42135.9	4	2	5.48	438
 Atp5e 	" ATP synthase subunit epsilon, mitochondrial "	 P56382 	7.07	42171.7	3	3	44.23	52
 Tssc1 	 protein TSSC1 	 Q8K0G5 	11.55	42173.2	4	2	7.25	386
 Prkra 	 interferon-inducible double-stranded RNA-dependent protein kinase 	 Q9WTX2 	10.57	42239.9	4	3	11.82	313
 Snx9 	 sorting nexin-9 	 Q91VH2 	8.6	42240.4	4	3	5.38	595
 Tada1 	 transcriptional adapter 1 	 Q99LM9 	14.62	42240.5	2	2	7.76	335
 Sap30 	 histone deacetylase complex subunit SAP30 	 O88574 	14.43	42244.5	2	2	10.45	220
 Tns3 	 tensin-3 	 Q5SSZ5 	8.38	42338.6	2	2	1.81	1440
 Ilvbl 	 acetolactate synthase-like protein 	 Q8BU33 	4.4	42351.7	3	2	3.64	632
 Senp1 	 sentrin-specific protease 1 	 P59110 	3.77	42400.3	3	3	5.16	640
 Hmox1 	 heme oxygenase 1 	 P14901 	9.45	42403.7	3	2	8.65	289
 Dguok 	" deoxyguanosine kinase, mitochondrial isoform 1 "	 Q9QX60 	9.98	42490.4	1	1	9.03	277
 Serinc3 	 serine incorporator 3 precursor 	 Q9QZI9 	5.67	42503.4	5	3	10.17	472
 Mtx2 	 metaxin-2 	 O88441 	6.65	42522.6	3	3	12.93	263
 Timm22 	 mitochondrial import inner membrane translocase subunit Tim22 	 Q9CQ85 	5.64	42528	2	1	7.73	194
 Med9 	 mediator of RNA polymerase II transcription subunit 9 	 Q8VCS6 	5.07	42742.6	4	3	26.76	142
 Git1 	 ARF GTPase-activating protein GIT1 	 Q68FF6 	12	42761.4	3	3	6.36	770
 Serpinb6a 	 PREDICTED: serpin B6 isoform X1 	 Q60854 	6.74	42764.1	6	2	6.35	378
 Ndufs7 	 NADH dehydrogenase 	 Q9DC70 	10.54	42806.3	2	2	10.27	224
 Ext1 	 exostosin-1 	 P97464 	2.75	42836.9	4	3	4.69	746
 Acsl4 	 long-chain-fatty-acid--CoA ligase 4 isoform 1 	 Q9QUJ7 	10.14	42861.4	3	2	5.49	711
 Polr2j 	 DNA-directed RNA polymerase II subunit RPB11 	 Q3TYI2 	10.83	42930.4	3	3	33.33	117
 Ppwd1 	 peptidylprolyl isomerase domain and WD repeat-containing protein 1 	 Q8CEC6 	9.82	42940.3	3	2	4.02	646
 Cdca7 	 cell division cycle-associated protein 7 	 Q9D0M2 	19.69	42960.3	2	2	6.81	382
 Cdk5 	 cyclin-dependent kinase 5 	 P49615 	3.45	43036.3	3	2	8.9	292
 Qrich1 	 glutamine-rich protein 1 	 Q3UA37 	6.28	43117.4	3	3	4.38	777
 Tnrc6b 	 trinucleotide repeat-containing gene 6B protein isoform 1 	 Q8BKI2 	13.75	43117.6	7	4	4.09	1810
 Ndufv3 	 NADH dehydrogenase 	 Q8BK30 	8.57	43119.1	3	1	16.35	104
 Mrpl42 	" 39S ribosomal protein L42, mitochondrial precursor "	 Q9CPV3 	4.13	43121.1	2	2	16.2	142
 Kras 	 PREDICTED: GTPase KRas isoform X1 	 P32883 	6.54	43240.9	2	1	7.94	189
 Rpl37a 	 60S ribosomal protein L37a 	 P61514 	9.67	43265.3	3	2	28.26	92
 Snrpb2 	 U2 small nuclear ribonucleoprotein B'' 	 Q9CQI7 	10.72	43268.3	3	3	12.44	225
 Aven 	 cell death regulator Aven isoform 1 	 Q9D9K3 	3.64	43277.3	1	1	2.92	342
 Serpinb9 	" serine (or cysteine) proteinase inhibitor, clade B, member 9 "	 O08797 	6.95	43292.3	7	3	12.03	374
 Nudt16l1 	 protein syndesmos isoform 1 	 Q8VHN8 	11.59	43311.2	5	2	9.95	211
 Gmpr2 	 GMP reductase 2 	 Q99L27 	4.42	43393.7	2	2	8.33	348
 Lipa 	 lysosomal acid lipase/cholesteryl ester hydrolase precursor 	 Q9Z0M5 	11.28	43430	6	2	5.29	397
 Acap1 	" arf-GAP with coiled-coil, ANK repeat and PH domain-containing "	 Q8K2H4 	7.37	43485.4	4	2	3.78	740
 Gmds 	" GDP-mannose 4,6 dehydratase "	 Q8K0C9 	8.55	43497.7	3	2	5.91	372
 Stam 	 signal transducing adapter molecule 1 	 P70297 	12.37	43626.6	2	2	4.74	548
 Limd1 	 LIM domain-containing protein 1 	 Q9QXD8 	14.35	43665.4	2	2	5.09	668
 Cnot7 	 CCR4-NOT transcription complex subunit 7 isoform 1 	 Q60809 	10.1	43665.8	3	3	16.14	285
 Mrpl50 	" 39S ribosomal protein L50, mitochondrial "	 Q8VDT9 	8.12	43715.7	4	2	15.09	159
 Wee1 	 wee1-like protein kinase 	 P47810 	10.71	43746.9	5	3	7.74	646
 Nif3l1 	 NIF3-like protein 1 	 Q9EQ80 	6.12	43844.4	2	1	4.26	376
 Smn1 	 survival motor neuron protein isoform 1 	 P97801 	4.56	43867.6	3	2	8.68	288
 Utp6 	 U3 small nucleolar RNA-associated protein 6 homolog 	 Q8VCY6 	16.63	43879.9	2	2	4.86	597
 Paip1 	 polyadenylate-binding protein-interacting protein 1 isoform 1 	 Q8VE62 	14.3	43898.8	3	3	6.25	400
 Atg7 	 ubiquitin-like modifier-activating enzyme ATG7 isoform 1 	 Q9D906 	11.79	43906.4	6	3	5.94	741
 Msh3 	 DNA mismatch repair protein Msh3 isoform 1 	 P13705 	17.24	43936.7	4	4	4.38	1095
 Nacc1 	 nucleus accumbens-associated protein 1 	 Q7TSZ8 	13.12	43954.6	4	3	7.78	514
 Spg21 	 maspardin 	 Q9CQC8 	8.67	44083.1	3	3	14.29	308
 Mad2l1 	 mitotic spindle assembly checkpoint protein MAD2A 	 Q9Z1B5 	15.93	44108.5	2	2	11.71	205
 Satb1 	 DNA-binding protein SATB1 	 Q60611 	11.91	44169.5	3	3	5.24	764
 Coa3 	" cytochrome c oxidase assembly factor 3 homolog, mitochondrial "	 Q9D2R6 	9.48	44246.5	3	2	18.52	108
 Mgme1 	 mitochondrial genome maintenance exonuclease 1 	 Q9CXC3 	6.6	44258.4	2	1	6.51	338
 Gnas 	 protein GNAS isoform XLas 	 Q6R0H7 	6.69	44317.2	5	5	5.56	1133
 Cwc22 	 pre-mRNA-splicing factor CWC22 homolog isoform 1 	 Q8C5N3 	6.37	44329.8	5	2	2.75	908
 Qrsl1 	" glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial "	 Q9CZN8 	7.41	44347.7	5	2	5.71	525
 Steap3 	 metalloreductase STEAP3 	 Q8CI59 	12.36	44356.6	2	2	4.51	488
 Ogt 	 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 	 Q8CGY8 	7.15	44378.1	2	1	1.53	1046
 Ptpn2 	 tyrosine-protein phosphatase non-receptor type 2 isoform b 	 Q06180 	10.89	44481.8	2	2	5.67	406
 Vipas39 	 spermatogenesis-defective protein 39 homolog isoform a 	 Q8BGQ1 	16.33	44543.5	4	2	5.3	491
 Gosr2 	 Golgi SNAP receptor complex member 2 	 O35166 	10.65	44564	2	1	5.19	212
 Gfi1b 	 zinc finger protein Gfi-1b isoform 1 	 O70237 	14.9	44588.5	2	2	11.52	330
 Dgcr8 	 microprocessor complex subunit DGCR8 	 Q9EQM6 	9.44	44618.4	3	2	3.1	773
 Acsf3 	" acyl-CoA synthetase family member 3, mitochondrial precursor "	 Q3URE1 	13.46	44630	3	2	6.52	583
 Gripap1 	 GRIP1-associated protein 1 isoform 2 	 Q8VD04 	6.11	44673.6	4	1	1.49	806
 Sbno1 	 protein strawberry notch homolog 1 	 B2RRI2 	13.66	44680.1	5	4	4.03	1391
 Dbr1 	 lariat debranching enzyme 	 Q923B1 	3.57	44739.2	2	2	3.82	550
 Psph 	 phosphoserine phosphatase 	 Q99LS3 	13.02	44758.7	4	2	15.56	225
 Pigt 	 GPI transamidase component PIG-T precursor 	 Q8BXQ2 	7.81	44758.9	3	2	5.15	582
 Dok2 	 docking protein 2 	 O70469 	6.61	44814.8	5	4	11.17	412
 Magt1 	 magnesium transporter protein 1 	 A2ADH1 	11.33	44816.2	3	3	7.88	368
 Peo1 	" twinkle protein, mitochondrial "	 Q8CIW5 	2.21	44887.8	3	3	7.59	685
 Sephs2 	" selenide, water dikinase 2 "	 P97364 	11.38	44951.5	5	3	11.28	452
 Snrnp27 	 U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein 	 Q8K194 	6.88	44965.2	3	3	20.65	155
 Fam32a 	 protein FAM32A 	 Q9CR80 	9.15	45058.2	5	2	19.64	112
 Dda1 	 DET1- and DDB1-associated protein 1 isoform 1 	 Q9D9Z5 	7.36	45061.7	2	2	19.61	102
 Txn2 	" thioredoxin, mitochondrial precursor "	 P97493 	8.76	45104.2	3	1	9.04	166
 Wrap53 	 telomerase Cajal body protein 1 	 Q8VC51 	20.66	45104.3	6	4	12.59	532
 Bpnt1 	" 3'(2'),5'-bisphosphate nucleotidase 1 "	 Q9Z0S1 	9.76	45140.7	3	1	4.55	308
 Qser1 	 glutamine and serine-rich protein 1 	 A2BIE1 	2.02	45174.5	2	1	0.88	1698
 Zc3hc1 	 nuclear-interacting partner of ALK isoform 1 	 Q80YV2 	6.77	45187.2	4	2	6.39	501
 Chchd6 	 MICOS complex subunit Mic25 isoform 1 	 Q91VN4 	12.28	45188.8	3	3	15.38	273
 Ints10 	 integrator complex subunit 10 isoform 1 	 Q8K2A7 	3.27	45203.1	3	3	4.62	736
 Uxs1 	 UDP-glucuronic acid decarboxylase 1 	 Q91XL3 	4.94	45219.7	3	3	10	420
 Frmd8 	 FERM domain-containing protein 8 	 Q3UFK8 	10.9	45242.5	4	3	7.3	466
 Polb 	 DNA polymerase beta 	 Q8K409 	3.43	45247.5	3	3	14.03	335
 Gsk3a 	 glycogen synthase kinase-3 alpha 	 Q2NL51 	5.4	45311.1	4	3	6.73	490
 Ints12 	 integrator complex subunit 12 	 Q9D168 	4.71	45375.6	2	2	4.12	461
 Nmt2 	 glycylpeptide N-tetradecanoyltransferase 2 isoform a 	 O70311 	5.93	45403.5	4	2	7.18	529
 Ppp3cb 	 serine/threonine-protein phosphatase 2B catalytic subunit beta 	 P48453 	6.77	45404.1	4	1	5.33	525
 Gemin4 	 gem-associated protein 4 	 Q6P6L6 	6	45420	3	1	1.42	1058
 Nfic 	 nuclear factor 1 C-type isoform a 	 P70255 	10.25	45437.9	2	2	6.15	439
 Fdx1 	" adrenodoxin, mitochondrial isoform 1 precursor "	 P46656 	3.97	45491.3	2	1	4.79	188
 Tex30 	 testis-expressed sequence 30 protein 	 Q3TUU5 	12.62	45614.1	5	2	12.89	225
 Ccny 	 cyclin-Y 	 Q8BGU5 	9.63	45656.7	2	1	4.99	341
 Camk1d 	 calcium/calmodulin-dependent protein kinase type 1D isoform a 	 Q8BW96 	3.09	45762.5	3	3	9.61	385
 Zfp281 	 zinc finger protein 281 	 Q99LI5 	12.75	45774.1	4	3	5.71	893
 Cmc1 	 COX assembly mitochondrial protein homolog 	 Q9CPZ8 	6.5	45825.5	2	1	9.43	106
 Dok3 	 docking protein 3 	 Q9QZK7 	1.87	45926.6	3	3	8.33	444
 Ppp1r9a 	 PREDICTED: neurabin-1 isoform X10 	 nan 	5.87	45945.1	3	3	5.38	893
 Exosc1 	 exosome complex component CSL4 isoform 1 	 Q9DAA6 	15.99	45974.2	2	2	15.38	195
 Slc39a11 	 zinc transporter ZIP11 isoform 1 	 Q8BWY7 	4.87	45975.8	3	2	5.56	342
 Prmt6 	 protein arginine N-methyltransferase 6 	 Q6NZB1 	3.72	46033.4	2	2	5.29	378
 Tbce 	 tubulin-specific chaperone E 	 Q8CIV8 	12.07	46139.8	5	3	7.06	524
 Mrps6 	" 28S ribosomal protein S6, mitochondrial "	 P58064 	6.44	46141.6	3	2	16.8	125
 Ivns1abp 	 influenza virus NS1A-binding protein homolog isoform 2 	 Q920Q8 	10.4	46188.5	3	2	3.58	642
 Dip2b 	 disco-interacting protein 2 homolog B isoform 1 	 Q3UH60 	8.85	46194.5	6	3	3.62	1574
 Ubash3a 	 ubiquitin-associated and SH3 domain-containing protein A 	 Q3V3E1 	12	46216.6	4	2	5.29	624
 Kdsr 	 3-ketodihydrosphingosine reductase isoform 1 precursor 	 Q6GV12 	5.23	46335.1	3	1	4.82	332
 Cpne1 	 copine-1 	 Q8C166 	8.79	46368.3	6	4	9.51	536
 Trim56 	 E3 ubiquitin-protein ligase TRIM56 	 Q80VI1 	8.47	46375.2	4	2	4.9	734
 Dtnbp1 	 dysbindin 	 Q91WZ8 	3.97	46407.1	3	2	6.82	352
 Mrpl1 	" 39S ribosomal protein L1, mitochondrial isoform 1 "	 Q99N96 	3.62	46416.7	4	4	17.26	336
 Oxld1 	 oxidoreductase-like domain-containing protein 1 	 Q9CR10 	8.83	46422.4	3	2	14.93	201
 Slc2a3 	" solute carrier family 2, facilitated glucose transporter member 3 "	 P32037 	8.62	46425.7	3	2	4.67	493
 Tubgcp4 	 gamma-tubulin complex component 4 isoform a 	 Q9D4F8 	4.19	46458.4	2	2	5.55	667
 Zfp292 	 zinc finger protein 292 	 Q9Z2U2 	9.14	46467.5	5	4	1.7	2698
 Pkm 	 pyruvate kinase PKM isoform M1 	 P52480 	9.92	46470.2	4	2	3.2	531
 Gba 	 glucosylceramidase precursor 	 P17439 	13.44	46527.1	4	2	6.99	515
 Prpf38a 	 pre-mRNA-splicing factor 38A 	 Q4FK66 	14.57	46575.7	5	4	13.14	312
 Ranbp10 	 ran-binding protein 10 	 Q6VN19 	2.85	46577.6	2	2	3.86	648
 Fam207a 	 protein FAM207A 	 P58468 	9.55	46582.2	3	2	10.5	219
 AK010878 	 uncharacterized protein C14orf142 homolog 	 P0C8B4 	9.67	46584.2	3	1	21.43	98
 Otulin 	 ubiquitin thioesterase otulin 	 Q3UCV8 	5.67	46615.1	3	2	5.11	352
 Fmod 	 fibromodulin precursor 	 P50608 	1.83	46728	3	3	10.64	376
 Rab6a 	 ras-related protein Rab-6A isoform 1 	 P35279 	8.46	46744.5	3	3	15.38	208
 Mpz 	 myelin protein P0 isoform L-MPZ precursor 	 P27573 	9.86	46757.8	3	3	9.94	312
 Tmem259 	 PREDICTED: membralin isoform X1 	 Q8CIV2 	1.64	46759.9	1	1	1.34	598
 Gfm2 	" ribosome-releasing factor 2, mitochondrial isoform 1 "	 Q8R2Q4 	22.35	46768.7	3	3	5.65	779
 Imp4 	 U3 small nucleolar ribonucleoprotein protein IMP4 	 Q8VHZ7 	8.2	46771.8	2	1	4.81	291
 Med10 	 mediator of RNA polymerase II transcription subunit 10 	 Q9CXU0 	14.59	46776.9	2	2	24.44	135
 Wdr73 	 WD repeat-containing protein 73 	 Q9CWR1 	7.22	46808.5	3	2	6.74	371
 Fam45a 	 protein FAM45A isoform 1 	 Q9D8N2 	17.27	46818.9	2	2	9.24	357
 0610010K14Rik 	 chromatin complexes subunit BAP18 isoform 1 	 Q9DCT6 	13.17	46932	3	2	17.28	191
 Med16 	 mediator of RNA polymerase II transcription subunit 16 isoform 1 	 G3UW74 	5.74	46949.9	2	2	2.31	865
 Pcid2 	 PCI domain-containing protein 2 	 Q8BFV2 	5.15	46965.5	3	2	6.02	399
 Ap1g1 	 AP-1 complex subunit gamma-1 isoform 2 	 P22892 	7.48	47073.9	3	3	3.28	822
 Armc8 	 armadillo repeat-containing protein 8 isoform 1 	 Q9DBR3 	13.26	47145.5	5	4	7.43	673
 Macf1 	 microtubule-actin cross-linking factor 1 isoform 1 	 E9PVY8 	8.61	47181.5	5	4	0.77	7355
 Hmgn1 	 non-histone chromosomal protein HMG-14 	 P18608 	19.97	47183.8	4	2	31.25	96
 l7Rn6 	 protein Hikeshi isoform a 	 Q9DD02 	9.49	47208.2	4	3	19.8	197
 Ctu2 	 cytoplasmic tRNA 2-thiolation protein 2 	 Q3U308 	22.87	47230.8	3	2	6.81	514
 Camk2g 	 calcium/calmodulin-dependent protein kinase type II subunit gamma 	 Q923T9 	19.15	47234.2	7	5	14.75	495
 Asah1 	 acid ceramidase preproprotein 	 Q9WV54 	9.06	47298.1	5	4	11.93	394
 Iba57 	" putative transferase CAF17 homolog, mitochondrial isoform 1 "	 Q8CAK1 	14.73	47375.1	2	2	6.7	358
 Maz 	 PREDICTED: myc-associated zinc finger protein isoform X1 	 A0A0U1RNL9 	13.71	47384	3	2	4.06	493
 Atp6v1h 	 V-type proton ATPase subunit H isoform 1 	 Q8BVE3 	16.29	47441.6	3	2	7.87	483
 Nom1 	 nucleolar MIF4G domain-containing protein 1 	 Q3UFM5 	18.44	47493.2	4	3	5.27	854
 Elp3 	 elongator complex protein 3 isoform 1 	 Q9CZX0 	9.74	47503.8	5	4	7.42	566
 Ncaph2 	 condensin-2 complex subunit H2 isoform c 	 Q8BSP2 	11.7	47643.1	3	3	6.74	608
 Gcat 	" 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial isoform a "	 O88986 	13.58	47653.9	6	2	7.69	416
 Rbbp9 	 putative hydrolase RBBP9 	 O88851 	5.56	47695.2	3	1	6.99	186
 Csrp2 	 cysteine and glycine-rich protein 2 	 P97314 	5.35	47749.9	2	1	7.77	193
 Tpm1 	 PREDICTED: tropomyosin alpha-1 chain isoform X11 	 E9Q455 	8.12	47787	2	1	4.78	251
 Dpy30 	 protein dpy-30 homolog 	 Q99LT0 	11.26	47793.2	4	2	29.29	99
 Rpap1 	 RNA polymerase II-associated protein 1 isoform 2 	 Q80TE0 	19.08	47796.7	3	2	2.41	1409
 Txndc17 	 thioredoxin domain-containing protein 17 	 Q9CQM5 	13.58	47812.9	3	3	26.83	123
 Prmt3 	 protein arginine N-methyltransferase 3 	 Q922H1 	5.58	47860	3	3	6.44	528
 Mmab 	" cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial "	 Q9D273 	10	47918.9	3	2	10.97	237
 Wash1 	 WAS protein family homolog 1 	 Q8VDD8 	12.64	47965.4	4	4	10.53	475
 Ubp1 	 PREDICTED: upstream-binding protein 1 isoform X1 	 nan 	5.64	48024.8	2	2	3.93	560
 Shoc2 	 leucine-rich repeat protein SHOC-2 	 O88520 	6.35	48045.3	2	2	3.44	582
 BC005624 	 uncharacterized protein C9orf78 homolog 	 Q3TQI7 	14.09	48046.3	3	3	16.95	289
 Cyp20a1 	 cytochrome P450 20A1 isoform 1 	 Q8BKE6 	11.52	48080.4	3	2	6.49	462
 Eif4ebp1 	 eukaryotic translation initiation factor 4E-binding protein 1 	 Q60876 	5.8	48104.9	5	2	16.24	117
 Snx27 	 sorting nexin-27 isoform 1 	 Q3UHD6 	21.51	48106.8	3	3	9.46	539
 Nbeal2 	 neurobeachin-like protein 2 	 E9Q9L6 	3.88	48141.9	4	3	1.71	2750
 Yars2 	" tyrosine--tRNA ligase, mitochondrial "	 Q8BYL4 	13.74	48277.2	5	4	11.23	472
 Rer1 	 protein RER1 	 Q9CQU3 	13.16	48277.3	2	2	15.31	196
 Ndufaf3 	 NADH dehydrogenase 	 Q9JKL4 	10.56	48304.5	3	1	10.81	185
 AU019823 	 uncharacterized protein C11orf57 homolog 	 E9PUQ3 	3.94	48346.7	3	2	8.22	292
 Aurkb 	 aurora kinase B 	 O70126 	17.39	48360.7	6	3	12.17	345
 Bcap29 	 B-cell receptor-associated protein 29 	 Q61334 	6.76	48367.6	5	4	11.67	240
 2410016O06Rik 	 bifunctional lysine-specific demethylase and histidyl-hydroxylase 	 Q9JJF3 	16.92	48381.7	2	2	5.14	603
 Wdr83 	 WD repeat domain-containing protein 83 	 Q9DAJ4 	8.14	48431.3	2	2	8.89	315
 2210010C04Rik 	 trypsinogen 7 precursor 	 Q9CPN9 	6.62	48453	5	1	4.86	247
 Mfn2 	 mitofusin-2 	 Q80U63 	5.19	48453.9	3	3	6.47	757
 Wdr33 	 pre-mRNA 3' end processing protein WDR33 isoform 1 	 Q8K4P0 	11.63	48455.3	3	3	2.41	1330
 Saal1 	 protein SAAL1 	 Q9D2C2 	16.62	48467.1	4	3	7.38	474
 Sdr39u1 	 epimerase family protein SDR39U1 	 Q5M8N4 	10.14	48485	4	2	7.85	293
 Ldb1 	 LIM domain-binding protein 1 isoform 1 	 P70662 	16.07	48556.6	3	3	9.25	411
 Lrch3 	 leucine-rich repeat and calponin homology domain-containing protein 	 Q8BVU0 	6.32	48621.9	2	2	3.47	778
 Pik3ap1 	 phosphoinositide 3-kinase adapter protein 1 	 Q9EQ32 	5.49	48728.4	3	2	3.82	811
 Scamp1 	 secretory carrier-associated membrane protein 1 	 Q8K021 	27.17	48780.3	3	3	18.05	338
 Cdk13 	 cyclin-dependent kinase 13 isoform 1 	 Q69ZA1 	16.59	48924.1	4	3	3.9	1511
 Tprkb 	 EKC/KEOPS complex subunit Tprkb 	 Q8QZZ7 	14.56	49002.4	4	2	21.14	175
 Abhd11 	 protein ABHD11 isoform 1 	 Q8K4F5 	8.24	49013.2	4	2	8.14	307
 Tnrc6c 	 trinucleotide repeat-containing gene 6C protein 	 Q3UHC0 	3.12	49118.6	4	3	2.74	1900
 Gpalpp1 	 GPALPP motifs-containing protein 1 	 Q69ZC8 	6.77	49145.9	3	2	7.23	346
 Ppp2r5c 	 serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit 	 Q60996 	17.8	49163.5	5	4	8.19	452
 Fgd3 	" FYVE, RhoGEF and PH domain-containing protein 3 "	 Q3TNB8 	17.5	49229.8	5	3	5.32	733
 Cks1b 	 cyclin-dependent kinases regulatory subunit 1 	 P61025 	5.25	49252.1	5	1	12.66	79
 Vwa9 	 von Willebrand factor A domain-containing protein 9 	 Q8R3P6 	13.29	49310.6	7	2	5.05	515
 Zgpat 	 zinc finger CCCH-type with G patch domain-containing protein 	 Q8VDM1 	6.55	49334.2	3	3	10.18	511
 Tcf12 	 transcription factor 12 isoform 1 	 Q61286 	10.11	49345.8	4	4	10.76	706
 Eif2d 	 eukaryotic translation initiation factor 2D isoform 1 	 Q61211 	14.75	49388.3	4	3	7.37	570
