UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD	
Q62093	SRSF2	 serine/arginine-rich splicing factor 2 	Srsf2	4130	1.47	50927.6	3	2	6.79	221	
Q9Z179	SHCBP	 SHC SH2 domain-binding protein 1 	Shcbp1	3744	4.17	57353.2	3	2	2.84	668	
O08804	O08804	" serine (or cysteine) proteinase inhibitor, clade B, member 6b "	Serpinb6b	4011	1.98	52959.4	2	2	6.37	377	
P42230	STA5A	 signal transducer and activator of transcription 5A isoform 1 	Stat5a	2419	10.87	90073.1	4	2	2.90	793	
Q64318	ZEB1	 zinc finger E-box-binding homeobox 1 	Zeb1	2483	10.35	22277.6	2	2	3.31	1117	
Q62351	TFR1	 transferrin receptor protein 1 	Tfrc	3414	5.60	50866.9	2	2	3.28	763	
P70362	UFD1	 ubiquitin fusion degradation protein 1 homolog 	Ufd1l	2969	7.38	189563.0	3	2	8.79	307	
P35123	UBP4	 ubiquitin carboxyl-terminal hydrolase 4 isoform 1 	Usp4	2774	8.31	71289.3	3	2	2.49	962	
Q9WTR1	TRPV2	 transient receptor potential cation channel subfamily V member 2 	Trpv2	4087	1.69	90636.7	2	2	3.57	756	
Q9Z1K6	ARI2	 E3 ubiquitin-protein ligase ARIH2 	Arih2	2544	9.89	48993.7	3	2	5.28	492	
Q9Z0S1	BPNT1	" 3'(2'),5'-bisphosphate nucleotidase 1 "	Bpnt1	3504	5.30	23020.8	2	2	12.01	308	
Q99K74	MED24	 mediator of RNA polymerase II transcription subunit 24 	Med24	2251	12.26	58246.7	2	2	3.04	987	
Q05921	RN5A	 2-5A-dependent ribonuclease 	Rnasel	3922	2.82	59901.3	3	2	2.86	735	
Q9R060	NUBP1	 cytosolic Fe-S cluster assembly factor NUBP1 	Nubp1	2755	8.44	50312.7	2	2	8.44	320	
Q9R061	NUBP2	 cytosolic Fe-S cluster assembly factor NUBP2 	Nubp2	3039	7.06	147023.6	4	2	11.64	275	
Q9WUV0	ORC5	 origin recognition complex subunit 5 	Orc5	4174	1.41	944555.7	4	2	4.83	435	
Q62095	DDX3Y	 ATP-dependent RNA helicase DDX3Y 	Ddx3y	2829	8.06	26821.6	2	2	5.62	658	
Q9R0B7	ZN346	 zinc finger protein 346 	Zfp346	1885	15.99	51989.9	2	2	11.90	294	
Q60996	2A5G	 serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit 	Ppp2r5c	3911	2.91	96034.8	3	2	4.01	524	
P62918	RL8	 60S ribosomal protein L8 	Rpl8	2108	13.56	489306.4	17	2	9.34	257	
P24549	AL1A1	 retinal dehydrogenase 1 	Aldh1a1	2768	8.37	70382.5	2	2	5.59	501	
P97742	CPT1A	" carnitine O-palmitoyltransferase 1, liver isoform "	Cpt1a	3280	6.09	81822.1	4	2	4.01	773	
Q64735	CR1L	 complement component receptor 1-like protein 	Cr1l	2547	9.88	39104.9	2	2	6.14	440	
P10630	IF4A2	 eukaryotic initiation factor 4A-II isoform a 	Eif4a2	3671	4.59	172914.3	4	2	5.16	407	
P54116	STOM	 erythrocyte band 7 integral membrane protein 	Stom	3353	5.83	69547.1	2	2	7.75	284	
P29387	GBB4	 guanine nucleotide-binding protein subunit beta-4 	Gnb4	3918	2.83	73939.1	2	2	9.12	340	
O35127	C10	 protein C10 	Grcc10	1846	16.38	145780.9	4	2	26.19	126	
Q9R257	HEBP1	 heme-binding protein 1 	Hebp1	2465	10.45	100227.2	4	2	17.37	190	
P23492	PNPH	 purine nucleoside phosphorylase 	Pnp	2122	13.46	149441.1	3	2	13.49	289	
P14131	RS16	 40S ribosomal protein S16 	Rps16	2806	8.16	124002.3	5	2	12.33	146	
P09671	SODM	 superoxide dismutase 	Sod2	1680	18.34	257751.0	9	2	13.06	222	
P21958	TAP1	 antigen peptide transporter 1 isoform 1 	Tap1	1252	24.35	161345.1	5	2	5.11	724	
Q9QWF0	CAF1A	 chromatin assembly factor 1 subunit A 	Chaf1a	2536	9.96	54505.9	3	2	2.63	911	
O89050	MKLN1	 muskelin 	Mkln1	3129	6.67	106502.6	3	2	4.35	735	
O35207	CDKA1	 cyclin-dependent kinase 2-associated protein 1 	Cdk2ap1	2635	9.29	65718.5	2	2	18.42	114	
Q02395	MTF2	 metal-response element-binding transcription factor 2 isoform 1 	Mtf2	2336	11.61	55526.8	3	2	4.89	593	
O08848	RO60	 60 kDa SS-A/Ro ribonucleoprotein 	Trove2	3943	2.54	331119.0	2	2	5.20	538	
Q9WTZ0	UXT	 protein UXT 	Uxt	2866	7.87	44990.0	2	2	15.29	157	
O55102	BL1S1	 biogenesis of lysosome-related organelles complex 1 subunit 1 	Bloc1s1	2927	7.61	66943.6	2	2	17.60	125	
O88851	RBBP9	 putative hydrolase RBBP9 	Rbbp9	2540	9.93	95216.7	2	2	15.59	186	
Q9JM14	NT5C	" 5'(3')-deoxyribonucleotidase, cytosolic type "	Nt5c	1766	17.28	156694.2	4	2	19.00	200	
Q91WG8	GLCNE	 bifunctional UDP-N-acetylglucosamine 	Gne	2164	13.06	49343.7	2	2	3.85	753	
P61027	RAB10	 ras-related protein Rab-10 	Rab10	3021	7.14	52479.0	2	2	11.50	200	
Q9JKB1	UCHL3	 ubiquitin carboxyl-terminal hydrolase isozyme L3 	Uchl3	2191	12.83	190873.6	4	2	10.43	230	
P50543	S10AB	 protein S100-A11 	S100a11	1738	17.59	512394.8	4	2	27.55	98	
P70175	DLG3	 disks large homolog 3 isoform 1 	Dlg3	3502	5.30	98406.8	3	2	4.59	849	
O55022	PGRC1	 membrane-associated progesterone receptor component 1 	Pgrmc1	1919	15.51	242695.3	7	2	14.87	195	
P61087	UBE2K	 ubiquitin-conjugating enzyme E2 K isoform 1 	Ube2k	2323	11.68	229966.3	5	2	11.50	200	
O70404	VAMP8	 vesicle-associated membrane protein 8 	Vamp8	2174	12.99	193246.5	6	2	21.78	101	
Q91XH6	Q91XH6	 vesicle transport through interaction with t-SNAREs homolog 1B 	Vti1b	2365	11.38	117342.4	7	2	10.78	232	
O88441	MTX2	 metaxin-2 	Mtx2	3288	6.07	80520.3	4	2	12.17	263	
O35250	EXOC7	 exocyst complex component 7 isoform 1 	Exoc7	2947	7.51	36067.9	3	2	4.73	697	
O54825	BYST	 bystin 	Bysl	3929	2.74	36175.0	3	2	6.19	436	
Q9Z0Y1	DCTN3	 dynactin subunit 3 isoform A 	Dctn3	2558	9.81	66180.9	3	2	15.59	186	
O88696	CLPP	" ATP-dependent Clp protease proteolytic subunit, mitochondrial "	Clpp	2677	8.98	130335.0	4	2	11.03	272	
Q78ZM0	Q78ZM0	 sorting nexin-3 	Snx3	3575	5.03	90063.6	2	2	5.56	162	
Q6ZWZ4	Q6ZWZ4	 60S ribosomal protein L36 	Rpl36	3854	3.48	128793.7	3	2	20.95	105	
Q9DCE9	Q9DCE9	 interferon gamma induced GTPase 	Igtp	2125	13.45	86357.0	3	2	7.33	423	
Q99L85	ELP5	 elongator complex protein 5 isoform 1 	Elp5	3150	6.60	111344.5	3	2	10.00	300	
O88327	CTNL1	 alpha-catulin 	Ctnnal1	4121	1.50	27671.4	2	2	3.28	731	
Q3UND0	SKAP2	 src kinase-associated phosphoprotein 2 	Skap2	2528	10.00	180917.3	4	2	5.87	358	
A2AD03	A2AD03	 rab proteins geranylgeranyltransferase component A 1 	Chm	3463	5.45	944834.0	4	2	4.38	662	
P47955	RLA1	 60S acidic ribosomal protein P1 	Rplp1	1282	23.81	115889.2	5	2	60.53	114	
Q9DCT1	AKCL2	" 1,5-anhydro-D-fructose reductase "	Akr1e1	3424	5.56	141086.0	4	2	10.63	301	
Q9CWU6	UQCC1	 ubiquinol-cytochrome-c reductase complex assembly factor 1 	Uqcc1	3979	2.11	79303.8	2	2	9.49	295	
Q9R1K9	CETN2	 centrin-2 	Cetn2	2976	7.35	88557.9	3	2	14.53	172	
Q9Z1B5	MD2L1	 mitotic spindle assembly checkpoint protein MAD2A 	Mad2l1	1912	15.56	80310.5	2	2	12.20	205	
Q9JK23	PSMG1	 proteasome assembly chaperone 1 	Psmg1	2633	9.31	84642.3	2	2	9.69	289	
O70503	DHB12	 very-long-chain 3-oxoacyl-CoA reductase 	Hsd17b12	2574	9.69	90524.5	4	2	9.29	312	
Q9WUD1	CHIP	 STIP1 homology and U box-containing protein 1 	Stub1	3276	6.09	173471.2	4	2	6.91	304	
Q9D0J4	ARL2	 ADP-ribosylation factor-like protein 2 	Arl2	2470	10.41	44234.6	2	2	15.22	184	
Q80U87	UBP8	 ubiquitin carboxyl-terminal hydrolase 8 isoform 2 	Usp8	3783	3.91	34195.9	2	2	1.57	1080	
Q9WV84	NDKM	" nucleoside diphosphate kinase, mitochondrial precursor "	Nme4	3546	5.12	64589.7	3	2	12.37	186	
Q9WV54	ASAH1	 acid ceramidase preproprotein 	Asah1	2440	10.70	109024.9	4	2	7.11	394	
Q8CCI5	RYBP	 RING1 and YY1-binding protein 	Rybp	3421	5.58	66801.0	3	2	14.47	228	
P56812	PDCD5	 programmed cell death protein 5 	Pdcd5	2090	13.73	188725.7	3	2	17.46	126	
Q9R1Q7	PLP2	 proteolipid protein 2 	Plp2	3104	6.74	132506.1	7	2	21.05	152	
Q9R0Q7	TEBP	 prostaglandin E synthase 3 	Ptges3	1441	21.37	566378.5	11	2	18.75	160	
P61022	CHP1	 calcineurin B homologous protein 1 	Chp1	2527	10.00	123702.0	4	2	18.46	195	
Q9QZB7	ARP10	 actin-related protein 10 	Actr10	2685	8.91	58516.1	3	2	7.43	417	
Q9WVM3	APC7	 anaphase-promoting complex subunit 7 	Anapc7	3403	5.64	51938.9	2	2	5.31	565	
Q9JM76	ARPC3	 actin-related protein 2/3 complex subunit 3 	Arpc3	1909	15.60	290603.2	7	2	13.48	178	
Q5XJV5	Q5XJV5	 nuclear receptor coactivator 6 isoform 1 	Ncoa6	2836	8.03	52919.6	2	2	1.59	2069	
Q9JI46	NUDT3	 diphosphoinositol polyphosphate phosphohydrolase 1 isoform 1 	Nudt3	2284	11.92	88935.1	2	2	14.88	168	
P97493	THIOM	" thioredoxin, mitochondrial precursor "	Txn2	2044	14.18	139061.4	3	2	21.08	166	
P69566	RANB9	 ran-binding protein 9 	Ranbp9	2386	11.23	157033.2	3	2	4.23	710	
Q9JLJ1	SELK	 selenoprotein K 	Selk	3529	5.19	41875.9	2	2	18.08	94	
Q9JMD3	STA10	 PCTP-like protein 	Stard10	3764	4.02	84180.5	3	2	8.93	291	
Q9DBE8	ALG2	" alpha-1,3/1,6-mannosyltransferase ALG2 "	Alg2	2272	12.01	98497.5	2	2	6.99	415	
Q8K0C4	CP51A	 lanosterol 14-alpha demethylase 	Cyp51	3981	2.09	75966.8	3	2	5.57	503	
Q91W59	RBMS1	" RNA-binding motif, single-stranded-interacting protein 1 isoform 3 "	Rbms1	3708	4.45	67841.3	3	2	6.20	403	
P70158	ASM3A	 acid sphingomyelinase-like phosphodiesterase 3a precursor 	Smpdl3a	1646	18.77	103773.7	3	2	8.99	445	
Q99LX0	PARK7	 protein DJ-1 	Park7	2555	9.83	141523.8	3	2	15.87	189	
Q04447	KCRB	 creatine kinase B-type 	Ckb	2282	11.94	77456.8	2	2	7.09	381	
J3QK52	J3QK52	 nucleolar complex protein 2 homolog 	Noc2l	3915	2.88	69774.0	2	2	2.53	750	
Q9JKP7	DPOE3	 DNA polymerase epsilon subunit 3 	Pole3	3998	2.01	88952.8	3	2	18.62	145	
Q9JI78	NGLY1	 peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase 	Ngly1	2989	7.30	68623.3	2	2	5.22	651	
Q9CYH6	RRS1	 ribosome biogenesis regulatory protein homolog 	Rrs1	3518	5.23	96444.6	3	2	5.75	365	
Q9R0Y5	KAD1	 adenylate kinase isoenzyme 1 isoform 1 	Ak1	3693	4.50	53089.8	2	2	16.19	210	
Q9JJT0	RCL1	 RNA 3'-terminal phosphate cyclase-like protein 	Rcl1	3795	3.84	77188.3	3	2	6.17	373	
Q9CR47	NSA2	 ribosome biogenesis protein NSA2 homolog 	Nsa2	2348	11.56	57607.9	2	2	9.23	260	
Q9ES74	NEK7	 serine/threonine-protein kinase Nek7 isoform 1 	Nek7	3851	3.50	48871.8	2	2	7.28	302	
Q9ES56	TPPC4	 trafficking protein particle complex subunit 4 	Trappc4	2577	9.67	63988.0	3	2	12.79	219	
Q9WUU7	CATZ	 cathepsin Z preproprotein 	Ctsz	4043	1.90	116874.9	3	2	9.80	306	
Q9JLZ8	SIGIR	 single Ig IL-1-related receptor 	Sigirr	3637	4.79	58792.9	5	2	4.40	409	
Q9CZX8	RS19	 40S ribosomal protein S19 	Rps19	3033	7.10	330430.1	8	2	12.41	145	
Q63932	MP2K2	 dual specificity mitogen-activated protein kinase kinase 2 	Map2k2	2215	12.65	77469.1	2	2	7.48	401	
Q78IK2	USMG5	 up-regulated during skeletal muscle growth protein 5 	Usmg5	2075	13.88	244885.7	4	2	43.10	58	
Q9CZY3	UB2V1	 ubiquitin-conjugating enzyme E2 variant 1 isoform 2 	Ube2v1	2279	11.97	293595.7	7	2	12.93	147	
Q9JJ80	RPF2	 ribosome production factor 2 homolog isoform 1 	Rpf2	3562	5.08	78076.1	2	2	7.52	306	
Q9EQG9	C43BP	 collagen type IV alpha-3-binding protein isoform 1 	Col4a3bp	2971	7.37	81962.9	3	2	3.21	624	
Q9JJ94	SSNA1	 Sjoegren syndrome nuclear autoantigen 1 homolog 	Ssna1	2082	13.81	106965.4	3	2	20.17	119	
Q3TCN2	PLBL2	 putative phospholipase B-like 2 precursor 	Plbd2	3682	4.54	155874.7	3	2	4.21	594	
Q8VEK6	ING3	 inhibitor of growth protein 3 isoform 1 	Ing3	3088	6.79	73296.8	3	2	3.80	421	
Q923F1	Q923F1	 methylosome subunit pICln 	Clns1a	1911	15.57	177774.9	5	2	10.79	241	
Q3ULL7	Q3ULL7	 zinc finger protein 84 	Zfp84	3110	6.71	64309.4	3	2	6.26	559	
Q3TYA6	MPP8	 M-phase phosphoprotein 8 	Mphosph8	2548	9.87	67438.9	2	2	3.26	858	
Q9Z2D1	MTMR2	 myotubularin-related protein 2 	Mtmr2	2220	12.58	50415.4	3	2	6.07	643	
Q9CR51	VATG1	 V-type proton ATPase subunit G 1 	Atp6v1g1	2089	13.73	105617.6	3	2	23.73	118	
Q9DC23	DJC10	 dnaJ homolog subfamily C member 10 precursor 	Dnajc10	3749	4.13	67411.1	3	2	2.90	793	
Q9CR62	M2OM	 mitochondrial 2-oxoglutarate/malate carrier protein 	Slc25a11	2750	8.47	22807.6	2	2	9.87	314	
Q9CQ54	NDUC2	 NADH dehydrogenase 	Ndufc2	2210	12.68	151215.4	4	2	18.33	120	
Q9D051	ODPB	" pyruvate dehydrogenase E1 component subunit beta, mitochondrial "	Pdhb	1670	18.45	235327.4	6	2	7.52	359	
Q3TDQ1	STT3B	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase 	Stt3b	3660	4.66	129246.3	3	2	2.55	823	
Q9D1B9	RM28	" 39S ribosomal protein L28, mitochondrial "	Mrpl28	3382	5.73	70168.2	2	2	10.12	257	
Q8BVI4	DHPR	 dihydropteridine reductase 	Qdpr	2903	7.69	83484.9	2	2	9.96	241	
Q922Q2	RIOK1	 serine/threonine-protein kinase RIO1 	Riok1	3632	4.81	78125.2	2	2	3.53	567	
Q8VE18	SMG8	 protein SMG8 	Smg8	2245	12.36	70587.9	2	2	3.63	991	
Q99KB8	GLO2	" hydroxyacylglutathione hydrolase, mitochondrial isoform 1 precursor "	Hagh	3645	4.75	113921.3	3	2	9.39	309	
Q80X85	RT07	" 28S ribosomal protein S7, mitochondrial precursor "	Mrps7	2136	13.33	133582.9	5	2	13.22	242	
Q9D3D9	ATPD	" ATP synthase subunit delta, mitochondrial precursor "	Atp5d	2252	12.25	319161.0	9	2	13.69	168	
Q9DD18	DTD1	 D-tyrosyl-tRNA(Tyr) deacylase 1 	Dtd1	2012	14.59	102618.8	5	2	14.83	209	
Q9CQU0	TXD12	 thioredoxin domain-containing protein 12 precursor 	Txndc12	3914	2.88	64881.7	3	2	14.12	170	
Q9D1K2	VATF	 V-type proton ATPase subunit F 	Atp6v1f	1671	18.45	136785.0	5	2	30.25	119	
Q9CR09	UFC1	 ubiquitin-fold modifier-conjugating enzyme 1 	Ufc1	3869	3.36	85071.2	4	2	10.18	167	
Q9D136	OGFD3	 2-oxoglutarate and iron-dependent oxygenase domain-containing 	Ogfod3	2009	14.62	94943.8	3	2	12.38	315	
Q8BWR2	PITH1	 PITH domain-containing protein 1 	Pithd1	2208	12.71	51999.9	2	2	15.17	211	
P56376	ACYP1	 acylphosphatase-1 	Acyp1	1834	16.57	134489.7	3	2	30.30	99	
Q9D0D4	DIM1	 probable dimethyladenosine transferase 	Dimt1	2529	9.99	92057.0	3	2	6.71	313	
Q9CR02	TMA16	 translation machinery-associated protein 16 	Tma16	1770	17.24	151029.9	4	2	14.93	221	
Q9D7E4	CS025	 UPF0449 protein C19orf25 homolog 	2310011J03Rik	2517	10.05	21624.8	2	2	35.78	109	
Q9D6T0	NOSIP	 nitric oxide synthase-interacting protein isoform 1 	Nosip	3013	7.17	102497.2	3	2	12.96	301	
Q9CZR8	EFTS	" elongation factor Ts, mitochondrial precursor "	Tsfm	2716	8.71	76721.6	3	2	8.33	324	
Q9CZM2	RL15	 60S ribosomal protein L15 	Rpl15	2376	11.29	95240.7	3	2	10.29	204	
Q9CQ22	LTOR1	 ragulator complex protein LAMTOR1 	Lamtor1	2433	10.76	64493.5	3	2	18.01	161	
Q99N93	RM16	" 39S ribosomal protein L16, mitochondrial precursor "	Mrpl16	2533	9.98	73358.2	3	2	10.36	251	
Q9CQK7	RWDD1	 RWD domain-containing protein 1 	Rwdd1	3179	6.49	42726.9	2	2	7.41	243	
Q9CQE1	NPS3B	 protein NipSnap homolog 3B 	Nipsnap3b	2043	14.20	87142.0	3	2	13.77	247	
P99028	QCR6	" cytochrome b-c1 complex subunit 6, mitochondrial "	Uqcrh	2237	12.44	72328.5	2	2	26.97	89	
Q9CPR7	SIKE1	 suppressor of IKBKE 1 	Sike1	2471	10.41	59573.2	2	2	15.46	207	
Q8C6E0	CFA36	 cilia- and flagella-associated protein 36 	Cfap36	4089	1.67	47077.1	2	2	7.87	343	
Q6ZPR1	CFA97	 cilia- and flagella-associated protein 97 	Cfap97	3603	4.90	56282.2	2	2	4.07	541	
Q9CQR4	ACO13	 acyl-coenzyme A thioesterase 13 	Acot13	2142	13.30	49463.9	2	2	17.86	140	
Q99KR8	FUCO2	 plasma alpha-L-fucosidase precursor 	Fuca2	3759	4.06	61833.8	2	2	5.42	461	
Q9DCL8	IPP2	 protein phosphatase inhibitor 2 	Ppp1r2	2211	12.67	105252.0	3	2	16.99	206	
Q8BZR9	NCBP3	 nuclear cap-binding protein subunit 3 	Ncbp3	2962	7.41	122451.7	4	2	4.23	615	
Q9CQF9	PCYOX	 prenylcysteine oxidase precursor 	Pcyox1	2584	9.63	75739.8	2	2	5.94	505	
Q9CQC6	BZW1	 basic leucine zipper and W2 domain-containing protein 1 	Bzw1	3898	3.07	136575.6	4	2	4.53	419	
Q9D9V3	ECHD1	 ethylmalonyl-CoA decarboxylase isoform a 	Echdc1	2964	7.40	108772.3	2	2	8.39	322	
Q9D7B6	ACAD8	" isobutyryl-CoA dehydrogenase, mitochondrial precursor "	Acad8	2532	9.98	95276.2	2	2	8.96	413	
Q9CQ36	DPOE4	 DNA polymerase epsilon subunit 4 	Pole4	2212	12.66	113860.6	2	2	24.58	118	
Q9DB85	RRP8	 ribosomal RNA-processing protein 8 isoform 2 	Rrp8	2283	11.93	82628.5	3	2	8.53	457	
Q9D864	ARP6	 actin-related protein 6 	Actr6	3092	6.78	85704.1	2	2	7.07	396	
Q9CPV5	PMF1	 polyamine-modulated factor 1 isoform 1 	Pmf1	2093	13.71	132132.4	2	2	12.87	202	
Q9D5V6	SYAP1	 synapse-associated protein 1 	Syap1	1922	15.48	84756.7	4	2	8.22	365	
P62627	DLRB1	 dynein light chain roadblock-type 1 isoform b 	Dynlrb1	1823	16.68	180522.0	3	2	29.17	96	
Q9CQF7	Q9CQF7	 prefoldin subunit 1 	Pfdn1	2165	13.06	135413.0	3	2	17.21	122	
Q9DB91	MED29	 mediator of RNA polymerase II transcription subunit 29 	Med29	2583	9.63	46610.3	2	2	14.57	199	
Q9CR27	WASC3	 WASH complex subunit CCDC53 isoform 1 	Ccdc53	3231	6.29	80830.6	2	2	10.82	194	
Q9CRC3	CO040	 UPF0235 protein C15orf40 homolog 	3110040N11Rik	2455	10.54	72456.3	2	2	23.81	126	
Q9CPT3	NANP	 N-acylneuraminate-9-phosphatase 	Nanp	2859	7.92	96542.3	3	2	12.90	248	
Q9D1K7	CT027	 UPF0687 protein C20orf27 homolog isoform 2 	1700037H04Rik	2453	10.56	94080.0	3	2	18.97	174	
P62320	SMD3	 small nuclear ribonucleoprotein Sm D3 	Snrpd3	1651	18.67	260193.5	6	2	24.60	126	
Q9CQA5	MED4	 mediator of RNA polymerase II transcription subunit 4 	Med4	1803	16.88	129312.1	6	2	10.00	270	
Q9D6K8	FUND2	 FUN14 domain-containing protein 2 	Fundc2	2530	9.99	145143.1	3	2	15.23	151	
Q6PIP5	NUDC1	 nudC domain-containing protein 1 isoform 1 	Nudcd1	2390	11.18	94877.3	2	2	3.78	582	
Q9DCF9	SSRG	 translocon-associated protein subunit gamma 	Ssr3	1609	19.16	88497.1	2	2	7.57	185	
Q9CQG2	MET16	 methyltransferase-like protein 16 	Mettl16	3526	5.20	102216.2	4	2	5.61	553	
Q99KF1	TMED9	 transmembrane emp24 domain-containing protein 9 precursor 	Tmed9	2006	14.63	88352.1	3	2	4.68	235	
Q8R3I3	COG6	 conserved oligomeric Golgi complex subunit 6 	Cog6	3568	5.06	114815.7	3	2	5.48	657	
Q8BH57	WDR48	 WD repeat-containing protein 48 	Wdr48	3698	4.48	68724.8	2	2	4.14	676	
Q7TMW6	CIAO3	 cytosolic Fe-S cluster assembly factor NARFL 	Narfl	3301	6.04	42582.6	2	2	5.04	476	
Q9CQL7	MOFA1	 MORF4 family-associated protein 1 	Mrfap1	1951	15.19	139534.7	4	2	28.00	125	
Q9D3P8	PLRKT	 plasminogen receptor (KT) 	Plgrkt	3416	5.60	103298.3	2	2	14.29	147	
Q91VA6	PDIP2	 polymerase delta-interacting protein 2 	Poldip2	2016	14.55	56619.5	4	2	7.61	368	
Q8BMC4	NOP9	 nucleolar protein 9 	Nop9	1908	15.61	59966.5	2	2	5.19	636	
Q9D0C1	RN115	 E3 ubiquitin-protein ligase RNF115 	Rnf115	2169	13.01	50373.5	2	2	10.16	305	
Q9CQF4	CF203	 uncharacterized protein C6orf203 homolog 	1700021F05Rik	3121	6.69	150091.4	3	2	12.08	240	
Q9D9Z1	SKAP	 small kinetochore-associated protein 	Knstrn	3803	3.80	35874.9	2	2	7.05	312	
P61961	UFM1	 ubiquitin-fold modifier 1 precursor 	Ufm1	1529	20.32	286810.4	7	2	50.59	85	
Q9CX97	WDR55	 WD repeat-containing protein 55 	Wdr55	2534	9.97	87481.1	3	2	10.82	388	
Q9D820	PRXD1	 prolyl-tRNA synthetase associated domain-containing protein 1 	Prorsd1	2605	9.45	136324.0	4	2	15.38	169	
Q6ZWY3	RS27L	 40S ribosomal protein S27-like isoform 2 	Rps27l	2452	10.56	284281.0	6	2	22.62	84	
Q9CQV4	RETR3	 protein FAM134C isoform 1 	Fam134c	3294	6.06	46809.5	2	2	8.37	466	
Q8BTE0	SDHF4	" succinate dehydrogenase assembly factor 4, mitochondrial precursor "	Sdhaf4	3829	3.66	129192.4	4	2	20.19	104	
Q8R060	ZWILC	 protein zwilch homolog 	Zwilch	3234	6.27	59465.8	2	2	4.87	596	
Q9CQX4	PAF15	 PCNA-associated factor 	2810417H13Rik	3320	5.98	67825.6	3	2	17.27	110	
Q9CR11	YETS4	 YEATS domain-containing protein 4 	Yeats4	3267	6.14	72044.5	2	2	8.81	227	
Q3UI43	BABA1	 BRISC and BRCA1-A complex member 1 	Babam1	2226	12.54	135316.9	5	2	13.21	333	
Q9D187	CIA2B	 mitotic spindle-associated MMXD complex subunit MIP18 	Fam96b	2956	7.47	68023.1	2	2	23.93	163	
Q9D1C1	UBE2C	 ubiquitin-conjugating enzyme E2 C 	Ube2c	2095	13.70	92558.1	3	2	16.76	179	
Q9JK91	MLH1	 DNA mismatch repair protein Mlh1 isoform 1 	Mlh1	3909	2.92	99457.5	2	2	2.76	760	
Q9DB96	NGDN	 neuroguidin 	Ngdn	2608	9.44	67708.0	2	2	9.52	315	
Q9CY97	SSU72	 RNA polymerase II subunit A C-terminal domain phosphatase SSU72 	Ssu72	2678	8.97	93699.7	3	2	10.82	194	
Q9D903	EBP2	 probable rRNA-processing protein EBP2 	Ebna1bp2	3619	4.84	112721.8	4	2	6.21	306	
Q9D8T2	GSDMD	 gasdermin-D 	Gsdmd	2046	14.16	121165.1	4	2	6.37	487	
Q9CZ15	PSF1	 DNA replication complex GINS protein PSF1 isoform 1 	Gins1	2285	11.92	66300.3	5	2	15.31	196	
Q6P9R1	DDX51	 ATP-dependent RNA helicase DDX51 	Ddx51	2691	8.87	72498.6	3	2	4.85	639	
Q3SXD3	HDDC2	 HD domain-containing protein 2 	Hddc2	2832	8.05	192216.9	5	2	14.07	199	
Q9CWW6	PIN4	 peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 	Pin4	2837	8.03	103364.8	3	2	16.03	131	
P62307	RUXF	 small nuclear ribonucleoprotein F 	Snrpf	3308	6.01	165189.1	5	2	19.77	86	
Q2VPQ9	EAF6	 chromatin modification-related protein MEAF6 isoform 1 	Meaf6	1518	20.45	118803.4	4	2	17.71	192	
Q7TSS2	UB2Q1	 ubiquitin-conjugating enzyme E2 Q1 	Ube2q1	3226	6.31	76446.9	6	2	7.58	422	
G3X8U3	G3X8U3	 UPF0553 protein C9orf64 homolog 	2210016F16Rik	2871	7.86	155567.1	7	2	10.65	338	
Q8K0Z7	TACO1	 translational activator of cytochrome c oxidase 1 	Taco1	2209	12.70	53163.4	2	2	8.84	294	
A6H611	MIPEP	 mitochondrial intermediate peptidase precursor 	Mipep	3767	3.99	73364.1	3	2	3.38	711	
Q9CYL5	GAPR1	 Golgi-associated plant pathogenesis-related protein 1 	Glipr2	3055	6.97	102273.1	5	2	22.08	154	
Q8CES0	NAA30	 N-alpha-acetyltransferase 30 	Naa30	1873	16.10	142532.9	7	2	9.07	364	
Q6P4S6	SIK3	 serine/threonine-protein kinase SIK3 	Sik3	2748	8.48	71772.8	3	2	1.90	1369	
Q6GV12	KDSR	 3-ketodihydrosphingosine reductase isoform 1 precursor 	Kdsr	3282	6.08	79454.3	4	2	8.13	332	
Q9D404	OXSM	 3-oxoacyl- 	Oxsm	2444	10.68	78205.7	4	2	9.37	459	
Q91W86	VPS11	 vacuolar protein sorting-associated protein 11 homolog 	Vps11	3563	5.08	43362.1	2	2	3.19	941	
Q9DBC0	SELO	 selenoprotein O 	Selo	2593	9.57	69482.3	3	2	5.40	667	
Q8JZR0	ACSL5	 long-chain-fatty-acid--CoA ligase 5 	Acsl5	2008	14.62	108982.2	3	2	4.98	683	
Q8K4L0	DDX54	 ATP-dependent RNA helicase DDX54 	Ddx54	3935	2.65	22108.0	2	2	4.23	874	
Q9CWN7	CNO11	 CCR4-NOT transcription complex subunit 11 	Cnot11	2848	7.98	41185.2	3	2	8.51	505	
Q9DAW9	CNN3	 calponin-3 	Cnn3	2580	9.67	138301.3	4	2	6.67	330	
Q9DAU1	CNPY3	 protein canopy homolog 3 isoform 1 precursor 	Cnpy3	2712	8.73	68607.9	3	2	11.23	276	
